merchant,category,amt,gender,city,province,latitude,longitude,city_pop,job,unix_time,merch_latitude,merch_longitude,processed_at,is_fraud
Amazon,Electronics,892.18,M,Vic Falls,Matabeleland North,-20.804786,29.045498,811126,Mechanic,1719328551,-16.484778,25.140678,2024-06-25 17:15:51,False
Under Armour,Clothing,2849.59,F,Masvingo,Masvingo,-19.045399,34.863659,922640,Veterinarian,1706905057,-19.763305,27.939091,2024-02-02 22:17:37,True
MedOrange,Medical,2639.36,F,Hwange,Matabeleland North,-17.971203,26.3102,634328,Civil Servant,1711619269,-15.314226,30.544202,2024-03-28 11:47:49,True
Pick n Pay,Food,4791.1,M,Kwekwe,Midlands,-17.913492,34.711877,508060,Statistician,1705879570,-15.99435,30.210771,2024-01-22 01:26:10,True
Kombi,Other,50.6,M,Gweru,Midlands,-18.000659,25.477494,378539,Nurse,1722726402,-17.481854,30.559134,2024-08-04 01:06:42,False
Foodbox,Food,576.64,F,Kariba,Mashonaland West,-19.632795,32.350586,240092,Graphic Designer,1713584845,-17.406459,33.019793,2024-04-20 05:47:25,False
Savemore,Food,3213.16,M,Kariba,Mashonaland West,-19.649106,28.106241,586717,Auditor,1703071758,-19.891005,30.732461,2023-12-20 13:29:18,True
MedOrange,Medical,2524.53,F,Mutare,Manicaland,-20.187176,31.884436,945615,Engineer,1729969171,-19.13761,26.208562,2024-10-26 20:59:31,True
Indrive,Other,4418.63,F,Masvingo,Masvingo,-16.005639,31.302429,579871,Event Planner,1706678741,-16.688146,32.547107,2024-01-31 07:25:41,True
Museyamwa,Other,531.36,M,Harare,Harare,-20.523523,34.969266,689075,Physiotherapist,1713337191,-15.945829,27.900098,2024-04-17 08:59:51,True
Nike,Clothing,617.44,F,Marondera,Mashonaland East,-18.277397,29.968172,584131,Real Estate Agent,1719914140,-16.056786,26.529963,2024-07-02 11:55:40,False
Greenwood Pharmacy,Medical,664.89,F,Mutare,Manicaland,-16.388949,26.656248,712805,Actuary,1705711217,-17.616959,27.776581,2024-01-20 02:40:17,True
Uber,Other,500.6,M,Shurugwi,Midlands,-17.809949,30.754696,461445,Auditor,1729814007,-16.354232,26.467164,2024-10-25 01:53:27,False
eBay,Other,418.72,F,Beit Bridge,Matabeleland South,-15.536056,30.556126,440710,Environmental Consultant,1718982390,-20.442395,25.805012,2024-06-21 17:06:30,False
Indrive,Other,521.8,F,Masvingo,Masvingo,-15.86031,28.726822,935652,Microbiologist,1708962691,-20.53014,25.628543,2024-02-26 17:51:31,False
Trade Center,Other,221.37,F,Chivhu,Mashonaland East,-15.374333,26.204249,693167,Lecturer,1715452917,-18.985195,28.214295,2024-05-11 20:41:57,False
Chicken Slice,Food,1200.23,F,Mhangura,Mashonaland West,-17.214514,28.177431,995911,Graphic Designer,1727643676,-17.704894,34.043592,2024-09-29 23:01:16,True
Pfeka,Clothing,1309.43,M,Mhangura,Mashonaland West,-20.035207,33.609555,656873,Interior Designer,1733214076,-19.411999,29.431129,2024-12-03 10:21:16,True
Foodbox,Food,491.75,M,Kariba,Mashonaland West,-15.70594,27.559146,470992,Customs Officer,1710096387,-16.647121,32.597031,2024-03-10 20:46:27,False
QV Pharmacy,Medical,570.61,M,Shurugwi,Midlands,-18.020701,31.268188,484418,Pharmacist,1705853207,-18.1762,31.475371,2024-01-21 18:06:47,False
Pick n Pay,Food,2058.4,F,Masvingo,Masvingo,-20.134931,31.575712,209911,Banker,1726787275,-15.345207,27.758479,2024-09-20 01:07:55,True
Engen,Fuel,165.08,M,Zvishavane,Midlands,-20.032557,29.849495,731790,Engineer,1704568726,-18.873395,25.085021,2024-01-06 21:18:46,False
Trade Center,Other,50.5,F,Shurugwi,Midlands,-15.029361,25.006488,524496,Event Planner,1719316405,-18.076736,34.156204,2024-06-25 13:53:25,False
MedOrange,Medical,101.15,F,Marondera,Mashonaland East,-17.080497,31.113771,697258,Mining Geologist,1722506721,-15.720673,31.413547,2024-08-01 12:05:21,False
Chicken Slice,Food,959.58,F,Masvingo,Masvingo,-15.059228,34.107284,735766,Customs Officer,1720892909,-16.026468,25.649736,2024-07-13 19:48:29,False
MedOrange,Medical,676.93,F,Zvishavane,Midlands,-17.384512,28.816015,882842,Engineer,1725946919,-19.327587,28.085516,2024-09-10 07:41:59,False
Chicken Inn,Food,1666.09,M,Zvishavane,Midlands,-16.683178,30.191733,371481,Pilot,1718995528,-15.132428,29.242424,2024-06-21 20:45:28,True
Chicken Slice,Food,741.57,M,Chivhu,Mashonaland East,-20.038282,28.599943,210237,Pilot,1705037814,-15.32161,34.054565,2024-01-12 07:36:54,True
Nike,Clothing,2039.16,F,Lupane,Matabeleland North,-16.984858,26.045682,225191,Interior Designer,1732683239,-17.915779,32.807536,2024-11-27 06:53:59,True
Pick n Pay,Food,1556.43,M,Vic Falls,Matabeleland North,-19.291466,26.132178,907965,Lecturer,1704841564,-20.090523,26.962963,2024-01-10 01:06:04,True
Pfeka,Clothing,289.35,F,Mhangura,Mashonaland West,-15.599964,33.626762,898767,Artist,1718803900,-17.169014,29.081014,2024-06-19 15:31:40,False
Trade Center,Other,15.72,F,Chinhoyi,Mashonaland West,-17.007344,28.649734,237257,Interior Designer,1717611469,-19.892562,30.185414,2024-06-05 20:17:49,False
N Richards,Other,3393.0,F,Zvishavane,Midlands,-18.192854,26.1762,864192,Musician,1721116390,-17.560121,34.566794,2024-07-16 09:53:10,True
Foodbox,Food,4965.68,F,Hwange,Matabeleland North,-20.481117,33.800933,922501,Pilot,1725276108,-16.024495,25.645774,2024-09-02 13:21:48,True
Thuli,Fuel,3635.76,F,Chivhu,Mashonaland East,-15.389667,32.962711,981492,Social Worker,1717812165,-16.324038,34.982532,2024-06-08 04:02:45,True
Engen,Fuel,1143.16,F,Kwekwe,Midlands,-18.499224,26.204797,884454,Statistician,1711115265,-20.258847,28.834232,2024-03-22 15:47:45,True
Savemore,Food,541.42,F,Karoi,Mashonaland West,-16.572881,32.294708,451860,Human Resource Manager,1717818107,-17.252663,33.81895,2024-06-08 05:41:47,True
Spar,Food,890.31,F,Hwange,Matabeleland North,-17.345195,28.525904,380592,Chef,1710811066,-16.708079,28.691717,2024-03-19 03:17:46,False
Nike,Clothing,1699.29,M,Gweru,Midlands,-15.755476,27.237025,800815,Politician,1711064723,-15.981782,26.127768,2024-03-22 01:45:23,True
Engen,Fuel,210.66,M,Chivhu,Mashonaland East,-19.520082,31.847408,639453,Human Resource Manager,1723893509,-17.150518,30.969712,2024-08-17 13:18:29,False
Amazon,Electronics,959.38,M,Gweru,Midlands,-19.030059,33.527219,215709,Tour Guide,1713718210,-16.659247,31.110665,2024-04-21 18:50:10,False
Amazon,Electronics,228.58,M,Lupane,Matabeleland North,-18.816466,30.067351,469975,Hwindi,1720150571,-19.643148,25.034037,2024-07-05 05:36:11,False
Nike,Clothing,2079.29,M,Kariba,Mashonaland West,-16.39007,26.19089,687153,Driver,1714037409,-19.949562,31.606038,2024-04-25 11:30:09,True
Under Armour,Clothing,454.18,F,Hwange,Matabeleland North,-20.484573,33.950532,793877,Human Resource Manager,1730754361,-15.032503,29.650806,2024-11-04 23:06:01,False
eBay,Other,2373.92,M,Lupane,Matabeleland North,-19.449248,28.376592,346157,Driver,1725392473,-17.979738,33.824638,2024-09-03 21:41:13,True
Indrive,Other,491.31,M,Gweru,Midlands,-19.902682,30.605385,336398,Lecturer,1716056463,-15.609048,31.560144,2024-05-18 20:21:03,False
Amazon,Electronics,414.8,F,Gweru,Midlands,-16.69312,27.755871,878051,Real Estate Agent,1704810160,-20.067296,29.478257,2024-01-09 16:22:40,False
7 Rings,Other,124.83,M,Shurugwi,Midlands,-18.945837,26.750251,464762,Other,1711833881,-15.243812,31.977388,2024-03-30 23:24:41,False
Under Armour,Clothing,591.44,F,Shurugwi,Midlands,-15.551244,29.469936,892433,Athlete,1722661682,-18.430952,31.551302,2024-08-03 07:08:02,False
MedOrange,Medical,376.85,M,Hwange,Matabeleland North,-20.963112,26.047433,155151,Veterinarian,1721586716,-20.699794,31.092186,2024-07-21 20:31:56,False
Pfeka,Clothing,1182.59,M,Gweru,Midlands,-18.354047,32.40926,416634,Veterinarian,1707430920,-20.728214,25.932655,2024-02-09 00:22:00,True
Chicken Inn,Food,598.42,M,Vic Falls,Matabeleland North,-16.310056,26.903266,70702,Driver,1731680553,-15.02346,33.798684,2024-11-15 16:22:33,False
Chicken Inn,Food,3997.29,M,Masvingo,Masvingo,-15.395613,26.99423,988169,Civil Servant,1731304022,-19.649013,32.837245,2024-11-11 07:47:02,True
Greenwood Pharmacy,Medical,342.81,F,Kwekwe,Midlands,-20.922567,26.296897,365351,Human Resource Manager,1711380547,-18.891483,34.987992,2024-03-25 17:29:07,False
Indrive,Other,121.27,F,Hwange,Matabeleland North,-19.400624,33.218529,326450,Lecturer,1708087267,-20.272538,33.471244,2024-02-16 14:41:07,False
Nike,Clothing,916.97,F,Kwekwe,Midlands,-17.292542,33.714768,816803,Banker,1703279366,-16.085965,29.656833,2023-12-22 23:09:26,False
Amazon,Electronics,3875.0,M,Chinhoyi,Mashonaland West,-18.679567,28.093277,654963,Accountant,1721441395,-15.656518,25.854997,2024-07-20 04:09:55,True
N Richards,Other,1468.3,M,Zvishavane,Midlands,-19.746074,34.906991,99455,Research Scientist,1708988858,-18.865182,32.573398,2024-02-27 01:07:38,True
Chicken Inn,Food,328.98,F,Chivhu,Mashonaland East,-15.967864,29.647061,24553,Actuary,1730859243,-16.209683,32.962825,2024-11-06 04:14:03,False
KFC,Food,62.42,M,Mhangura,Mashonaland West,-16.490057,26.661077,459337,Human Resource Manager,1703360330,-16.341546,33.224748,2023-12-23 21:38:50,False
Museyamwa,Other,504.65,M,Harare,Harare,-20.251207,34.746464,296198,Farmer,1702949605,-17.451378,29.607512,2023-12-19 03:33:25,False
Total,Fuel,4568.55,F,Kariba,Mashonaland West,-18.977464,26.954377,84130,Actuary,1712951953,-19.669728,30.801848,2024-04-12 21:59:13,True
Museyamwa,Other,3192.22,F,Vic Falls,Matabeleland North,-15.314727,29.034894,23964,Chef,1729674077,-15.971648,29.38439,2024-10-23 11:01:17,True
Engen,Fuel,683.83,F,Beit Bridge,Matabeleland South,-19.900205,32.080666,427999,Driver,1728287369,-16.882219,34.650819,2024-10-07 09:49:29,False
Pfeka,Clothing,2009.41,F,Bulawayo,Bulawayo,-17.377208,32.889145,334512,Musician,1727922571,-17.794086,29.751644,2024-10-03 04:29:31,True
QV Pharmacy,Medical,2033.53,F,Gweru,Midlands,-18.296713,28.163535,750906,Tour Guide,1716471973,-16.797334,26.142243,2024-05-23 15:46:13,True
eBay,Other,3592.47,F,Chinhoyi,Mashonaland West,-19.559186,29.540623,430544,Customs Officer,1702591571,-19.988908,30.687199,2023-12-15 00:06:11,True
Adidas,Clothing,116.2,F,Mutare,Manicaland,-18.812291,25.081265,523978,Microbiologist,1732860066,-17.193414,29.378003,2024-11-29 08:01:06,False
Zuva,Fuel,216.36,F,Shurugwi,Midlands,-17.051345,33.579228,428329,Nurse,1732195384,-16.860119,30.946794,2024-11-21 15:23:04,False
Adidas,Clothing,2050.81,M,Chinhoyi,Mashonaland West,-15.101946,27.865736,209141,IT Support,1712720756,-17.084579,32.485132,2024-04-10 05:45:56,True
Foodbox,Food,991.13,M,Kwekwe,Midlands,-18.276018,30.044479,976326,Physiotherapist,1725693943,-16.532631,25.721533,2024-09-07 09:25:43,False
MedOrange,Medical,948.65,M,Harare,Harare,-20.735778,27.431155,694788,Event Planner,1704548324,-20.774011,25.461381,2024-01-06 15:38:44,False
Push Athletics,Clothing,286.96,F,Mhangura,Mashonaland West,-15.054818,29.039339,869615,Auditor,1706771165,-19.116746,29.778423,2024-02-01 09:06:05,False
Amazon,Electronics,1049.93,M,Beit Bridge,Matabeleland South,-18.062308,29.742578,133987,Hwindi,1728320703,-19.642787,26.018205,2024-10-07 19:05:03,True
N Richards,Other,2778.66,F,Masvingo,Masvingo,-18.679084,28.952885,596448,Accountant,1703357193,-15.936733,26.236383,2023-12-23 20:46:33,True
Chicken Slice,Food,312.29,F,Zvishavane,Midlands,-15.356804,28.382738,952120,Insurance Broker,1709378478,-15.517584,28.955442,2024-03-02 13:21:18,False
MedOrange,Medical,234.56,F,Gweru,Midlands,-18.736049,29.212555,100538,Interior Designer,1709941921,-17.307297,29.75602,2024-03-09 01:52:01,False
Total,Fuel,759.57,M,Hwange,Matabeleland North,-19.113024,33.387338,345004,Veterinarian,1717540615,-15.709237,32.938739,2024-06-05 00:36:55,False
Choppies,Food,126.8,F,Bulawayo,Bulawayo,-16.342478,25.564979,399483,Mining Geologist,1705365727,-19.349091,26.056664,2024-01-16 02:42:07,False
Spar,Food,4751.42,F,Gweru,Midlands,-16.783719,28.860317,164232,Graphic Designer,1719271447,-17.857958,32.979637,2024-06-25 01:24:07,True
Museyamwa,Other,3684.65,M,Mhangura,Mashonaland West,-16.456695,34.182869,562431,Radiographer,1732721476,-20.781666,25.020106,2024-11-27 17:31:16,True
7 Rings,Other,2692.1,F,Karoi,Mashonaland West,-15.142036,27.177184,516121,Pilot,1724820952,-19.048788,29.384229,2024-08-28 06:55:52,True
Chicken Inn,Food,3478.67,M,Zvishavane,Midlands,-16.351066,34.009277,451994,Marketing Specialist,1730477744,-17.723237,32.149951,2024-11-01 18:15:44,True
Foodbox,Food,4133.76,M,Beit Bridge,Matabeleland South,-19.418624,34.325369,747034,Interior Designer,1703770886,-18.894922,33.067606,2023-12-28 15:41:26,True
Foodbox,Food,4202.17,M,Chivhu,Mashonaland East,-18.887596,27.096309,890577,Statistician,1710503618,-19.327941,30.266552,2024-03-15 13:53:38,True
eBay,Other,308.45,M,Mhangura,Mashonaland West,-16.529121,31.871871,292401,Radiographer,1729106600,-17.006639,31.215532,2024-10-16 21:23:20,False
Push Athletics,Clothing,883.94,F,Kariba,Mashonaland West,-16.091011,28.697947,359811,Teacher,1730874885,-17.968162,29.410587,2024-11-06 08:34:45,False
Savemore,Food,374.65,M,Masvingo,Masvingo,-17.352097,27.873431,643245,Other,1721135080,-15.196449,34.434693,2024-07-16 15:04:40,False
Spar,Food,678.64,M,Bulawayo,Bulawayo,-17.247446,29.202404,950825,Nurse,1732094767,-17.078771,33.07394,2024-11-20 11:26:07,False
Thuli,Fuel,971.54,F,Marondera,Mashonaland East,-16.587798,32.080526,189718,Customs Officer,1729691610,-18.490887,28.064414,2024-10-23 15:53:30,True
Spar,Food,3176.62,M,Mhangura,Mashonaland West,-20.136773,25.186861,872280,Marketing Specialist,1726792854,-19.482456,28.0195,2024-09-20 02:40:54,True
Amazon,Electronics,413.37,M,Beit Bridge,Matabeleland South,-17.466765,32.586758,644074,Research Scientist,1712546397,-19.555433,31.791641,2024-04-08 05:19:57,False
Push Athletics,Clothing,4647.6,F,Kwekwe,Midlands,-18.653908,28.398403,148240,Driver,1703627277,-16.854546,33.862961,2023-12-26 23:47:57,True
